VD_V,measured_covariance,new_dynamic_covariance,static_covariance,measured_r,new_dynamic_r,static_r,dlnI_dGIDLphi,dlnI_dphiE
3.479999999999999982e+00,-1.775732945647739828e-04,-2.241980935704069808e-04,-7.467019371214057627e-04,-3.295066845994536475e-01,-4.160241025373066504e-01,-1.385587175638699931e+00,4.719857393808979396e-06,9.500097850461129667e+01
3.500000000000000000e+00,-1.890252255275644245e-04,-2.113474927224680180e-04,-7.259588583916247798e-04,-3.485645701532275598e-01,-3.897270734536266712e-01,-1.338676024419315658e+00,4.851898438573698513e-06,9.236188954115930017e+01
3.520000000000000018e+00,-1.808800615413882129e-04,-2.015662212980534780e-04,-7.140559037131993326e-04,-3.453829060962662068e-01,-3.848822622544012528e-01,-1.363459858638035982e+00,4.057811864299765148e-06,9.084750735040002212e+01
3.540000000000000036e+00,-1.800319923587351007e-04,-1.922583937978566298e-04,-7.024239426714709187e-04,-3.363121407882254110e-01,-3.591518993680992700e-01,-1.312176223823732668e+00,6.126167129139048484e-06,8.936760186104562820e+01
3.560000000000000053e+00,-1.742558923314231395e-04,-1.813851096789004008e-04,-6.834632559437130942e-04,-3.283662176253622778e-01,-3.418004499127147433e-01,-1.287911939375387949e+00,6.834061316851602896e-06,8.695528186315469554e+01
3.580000000000000071e+00,-1.743813187578882856e-04,-1.749666925442398423e-04,-6.799367106702866332e-04,-3.331906387819760229e-01,-3.343091133249487257e-01,-1.299156059681423336e+00,2.951821898022899404e-06,8.650661003057891207e+01
3.600000000000000089e+00,-1.679799282745312293e-04,-1.651064276684520720e-04,-6.617236336816723682e-04,-3.104450644446830054e-01,-3.051345247272343464e-01,-1.222936800920299660e+00,1.232622892644030799e-06,8.418940742522806886e+01
3.620000000000000107e+00,-1.520969938951764755e-04,-1.592720127585199510e-04,-6.583421621889977123e-04,-2.914615934569823597e-01,-3.052109936090672271e-01,-1.261572965497022913e+00,3.174053908594487439e-06,8.375919071790249859e+01
3.640000000000000124e+00,-1.657772541707373088e-04,-1.503250672046059023e-04,-6.408304747333582038e-04,-3.227175336975979802e-01,-2.926368589217435701e-01,-1.247500637881330254e+00,2.926018538573771366e-06,8.153122355141206867e+01
3.660000000000000142e+00,-1.568024426487171807e-04,-1.441550056630982232e-04,-6.337836586064624035e-04,-3.031554181089579081e-01,-2.787033816316206725e-01,-1.225331358172174756e+00,1.074758060326530540e-06,8.063467582619665563e+01
3.680000000000000160e+00,-1.207841153146507193e-04,-1.369133961740422027e-04,-6.208072857218335837e-04,-2.301032947623721236e-01,-2.608308507677723487e-01,-1.182686990627417556e+00,4.866329561536986148e-07,7.898372526389252357e+01
3.700000000000000178e+00,-1.540872993664092023e-04,-1.305138286671116165e-04,-6.103331337088677751e-04,-2.904988101630698871e-01,-2.460560480553656004e-01,-1.150653232774973889e+00,-5.524904977960432007e-07,7.765112603115298384e+01
3.720000000000000195e+00,-1.274131229408232877e-04,-1.247348928019680861e-04,-6.015862413648197151e-04,-2.420581071887364655e-01,-2.369700338171402687e-01,-1.142887196660166138e+00,3.175271601207896310e-06,7.653827992193384944e+01
3.740000000000000213e+00,-1.219535791520403879e-04,-1.183670313346383619e-04,-5.887626128436003557e-04,-2.404116943141579310e-01,-2.333413972099999956e-01,-1.160649964410596757e+00,5.078904408151174721e-06,7.490676175336830056e+01
3.759999999999999787e+00,-1.165342451498701365e-04,-1.136637778670539852e-04,-5.830839471033211988e-04,-2.265811078677422430e-01,-2.209999702699301516e-01,-1.133708006128649748e+00,7.046314642877860024e-06,7.418427894236856446e+01
3.779999999999999805e+00,-1.016495991558831805e-04,-1.075290733229467336e-04,-5.688980710979645115e-04,-1.939160961870867173e-01,-2.051323202310336713e-01,-1.085282125967892419e+00,5.386106671778634336e-06,7.237944676941054922e+01
3.799999999999999822e+00,-1.325229217530650590e-04,-1.035921171138005030e-04,-5.652425303250488290e-04,-2.408005503626232113e-01,-1.882318808267260113e-01,-1.027072981715975830e+00,3.405175696968854027e-06,7.191436235247650188e+01
